	Feature	Coefficient
78	er_positive	0.003495612165284754
14	X204014_at	0.002884509496380601
13	X203391_at	0.0027376187394070675
74	X221916_at	0.002731811221483186
4	X201288_at	0.0025311493183956648
8	X202239_at	0.0023775649235337443
39	X211779_x_at	0.0023406623240251182
12	X203306_s_at	0.002290471801118177
75	X221928_at	0.0021657224682301093
15	X204015_s_at	0.0018618579944223266
66	X219724_s_at	0.0017957711012247604
5	X201368_at	0.0017839666325749884
20	X204740_at	0.0017412563982627022
11	X202687_s_at	0.0016954714565860932
44	X214919_s_at	0.0016614792972307877
79	grade_intermediate	0.0015695570199989667
58	X218478_s_at	0.0015455962412695514
1	X200965_s_at	0.001485022298827742
63	X219340_s_at	0.0014389861707238653
25	X206295_at	0.0014174558663904663
37	X211382_s_at	0.0013155449367103901
55	X217771_at	0.0011091087157187578
46	X215633_x_at	0.0010686486990119622
0	X200726_at	0.0009468413020371928
72	X221816_s_at	0.000906309182902472
48	X216103_at	0.0008795698319018298
81	grade_unkown	0.0008180476330474937
54	X217767_at	0.000745761066838563
69	X221241_s_at	0.0006422577737071098
28	X208683_at	0.0005500842637868545
50	X217019_at	0.0005312617225372094
57	X218430_s_at	0.0005278887350684535
47	X216010_x_at	0.0003572169311263511
45	X215510_at	0.00035360294659920116
17	X204218_at	0.00035128433036623626
19	X204631_at	0.0003443922280253382
76	age	0.0002858559610784503
35	X210593_at	7.898626076398383e-05
70	X221344_at	7.109547251717901e-05
33	X210028_s_at	-2.9066054691494845e-05
24	X205848_at	-3.8413896100019484e-05
41	X212567_s_at	-9.527886718265112e-05
16	X204073_s_at	-0.00010376154693846053
62	X218914_at	-0.0001263340751058516
51	X217102_at	-0.00014502041495922274
56	X217815_at	-0.0001574093947034302
49	X216693_x_at	-0.00023360699613279048
30	X209524_at	-0.0003871922535681296
22	X204888_s_at	-0.00040325852687874705
71	X221634_at	-0.0004036313216323189
34	X210314_x_at	-0.00048134793782345553
59	X218533_s_at	-0.0004980764942628733
73	X221882_s_at	-0.0006425461151785312
53	X217471_at	-0.0006432578580956842
29	X209500_x_at	-0.0006527451764503153
52	X217404_s_at	-0.0006649996565266785
32	X209862_s_at	-0.000677389370074664
65	X219588_s_at	-0.000707001602678304
2	X201068_s_at	-0.000724068334588986
31	X209835_x_at	-0.0008986817336251124
43	X214915_at	-0.0010060971064818072
64	X219510_at	-0.0012353559284966967
18	X204540_at	-0.001271468886917033
67	X220886_at	-0.0012868496834423171
42	X214806_at	-0.0012875255051041582
38	X211762_s_at	-0.0013185516756649277
21	X204768_s_at	-0.0013621623972748563
10	X202418_at	-0.0013859208026583989
68	X221028_s_at	-0.0014642901347454577
40	X212014_x_at	-0.001537757523089011
60	X218782_s_at	-0.0015552794735326707
26	X207118_s_at	-0.0015709118578056294
3	X201091_s_at	-0.0016052717159241714
36	X211040_x_at	-0.001713293589368821
27	X208180_s_at	-0.0017938909140950794
23	X205034_at	-0.001956185115042695
7	X201664_at	-0.0020104646667206375
6	X201663_s_at	-0.002118979971914932
77	size	-0.002497467947678247
80	grade_poorly differentiated	-0.0026030361300075915
9	X202240_at	-0.0029966181575303277
61	X218883_s_at	-0.004197896938631867
